Age,Income,LoanAmount,CreditScore,EmploymentLength,DebtToIncomeRatio,OpenCreditLines,LatePayments,HomeOwnership,LoanPurpose,AppSessionTime,UtilityPaymentLatency,SocialSentimentScore,OverdraftFrequency,NumInquiries,BankLoyaltyScore,SupportContactFrequency,DeviceType,TransactionConsistency,NighttimeTransactionRatio,LoanStatus
34,42827,5551,784,11,0.95,13,5,OWN,debt_consolidation,8.1,4,74.0,0,6,4,1,mobile,90.8,0.112,1
56,43832,8277,596,0,0.95,6,2,MORTGAGE,debt_consolidation,8.2,7,64.5,1,0,11,5,mobile,71.2,0.143,0
63,75561,8723,589,25,0.95,10,4,OWN,debt_consolidation,10.3,4,77.7,1,1,4,9,desktop,60.7,0.047,1
51,32120,13553,636,29,0.95,13,0,RENT,car,9.8,0,37.8,0,8,18,8,desktop,76.6,0.233,1
62,36047,11450,724,28,0.95,2,1,RENT,other,5.7,3,52.8,8,3,14,8,mobile,79.6,0.141,0
59,58066,10752,591,15,0.95,5,2,OWN,education,8.1,2,61.5,5,7,1,3,mobile,65.8,0.115,0
42,83804,7624,712,1,0.95,15,1,MORTGAGE,debt_consolidation,10.2,0,84.4,4,0,18,10,mobile,80.8,0.04,1
55,94577,14560,708,7,0.95,6,3,RENT,car,5.4,2,47.8,4,4,12,5,mobile,86.6,0.205,1
35,40164,44816,790,0,0.95,10,0,RENT,debt_consolidation,13.8,0,67.5,0,3,15,10,mobile,70.6,0.077,1
41,82605,11808,737,1,0.95,9,2,MORTGAGE,medical,7.9,0,72.4,2,7,2,1,desktop,72.7,0.184,1
45,38068,9320,700,4,0.95,14,3,MORTGAGE,home_improvement,14.4,0,71.5,1,6,12,9,desktop,88.1,0.088,1
64,123228,5329,754,17,0.519,8,2,RENT,debt_consolidation,2.4,5,66.6,1,0,9,3,desktop,82.9,0.158,1
59,32526,6940,709,23,0.95,7,0,OWN,home_improvement,10.6,1,59.3,2,2,5,7,desktop,71.1,0.06,1
43,98500,8222,654,18,0.95,1,0,MORTGAGE,home_improvement,4.4,1,64.5,1,5,4,0,mobile,91.2,0.138,1
50,40319,7231,617,6,0.95,8,4,RENT,other,5.5,5,81.6,2,0,2,5,mobile,49.6,0.145,1
30,134049,8898,648,18,0.797,9,2,OWN,debt_consolidation,11.6,30,58.4,0,1,17,9,mobile,83.6,0.161,1
57,70692,18237,677,7,0.95,11,4,OWN,other,7.1,0,37.8,6,8,9,7,mobile,79.9,0.212,0
45,34296,14748,689,14,0.95,12,0,OWN,debt_consolidation,18.4,0,74.5,0,0,5,3,mobile,89.5,0.186,1
44,42830,8404,562,27,0.95,12,3,MORTGAGE,debt_consolidation,10.1,8,88.9,2,7,11,2,mobile,65.2,0.259,0
55,76998,5523,667,4,0.861,7,2,MORTGAGE,medical,5.2,1,53.3,0,5,7,2,mobile,67.7,0.05,1
49,87002,15290,681,27,0.95,2,3,RENT,home_improvement,10.1,30,87.1,1,9,11,11,desktop,69.5,0.296,0
24,52480,8781,710,8,0.95,4,1,MORTGAGE,education,7.1,2,75.3,0,5,0,3,mobile,99.5,0.216,1
33,55276,4489,769,20,0.95,7,0,MORTGAGE,car,11.3,3,51.8,4,1,6,7,mobile,79.1,0.119,0
28,76211,11908,690,8,0.95,15,1,RENT,home_improvement,6.8,1,58.1,1,6,13,0,mobile,70.2,0.219,1
54,57487,13498,629,5,0.95,12,1,MORTGAGE,debt_consolidation,9.6,0,57.5,3,6,1,7,desktop,72.0,0.274,1
22,30270,3394,580,13,0.95,14,2,MORTGAGE,other,8.8,15,70.4,2,2,20,7,mobile,67.8,0.228,1
30,37578,6439,717,11,0.95,15,0,OWN,car,8.3,1,65.5,0,2,7,6,mobile,72.7,0.081,1
47,60223,8568,632,15,0.95,2,3,OWN,car,12.2,0,83.5,1,4,12,10,mobile,85.3,0.153,1
52,93617,12014,727,7,0.95,1,0,MORTGAGE,medical,0.8,0,79.9,0,5,16,8,mobile,79.3,0.203,1
43,112105,7286,756,30,0.78,9,0,MORTGAGE,debt_consolidation,8.4,0,46.4,0,2,15,2,mobile,81.2,0.148,1
59,76941,6420,595,20,0.95,4,2,OWN,education,5.2,3,48.1,4,7,5,8,mobile,74.6,0.181,0
62,61653,11978,710,26,0.95,14,5,RENT,home_improvement,2.6,0,76.6,2,8,18,2,mobile,81.7,0.186,0
26,75884,7425,751,24,0.95,7,1,MORTGAGE,education,4.6,0,60.8,4,1,18,0,desktop,100.0,0.081,1
63,40133,11124,736,22,0.95,1,0,RENT,medical,5.5,10,65.6,1,7,15,11,mobile,82.1,0.238,1
48,50567,5741,564,4,0.95,4,2,MORTGAGE,home_improvement,7.1,6,75.7,3,4,5,5,mobile,63.3,0.156,0
49,37389,5214,633,18,0.95,6,0,MORTGAGE,medical,9.3,0,80.0,4,1,1,5,mobile,75.4,0.147,1
25,30886,12114,609,27,0.95,1,2,RENT,medical,10.2,4,50.7,7,2,4,11,mobile,65.3,0.087,0
48,62950,9907,708,2,0.95,5,2,MORTGAGE,debt_consolidation,6.4,3,36.9,1,9,15,7,mobile,82.8,0.133,1
53,58893,12952,702,14,0.95,9,0,MORTGAGE,medical,14.3,3,66.4,0,1,4,9,desktop,78.0,0.216,1
47,73824,7237,531,5,0.95,14,2,OWN,home_improvement,6.5,2,56.0,3,0,16,10,mobile,58.7,0.167,1
24,69269,6516,663,24,0.95,10,3,RENT,education,0.2,30,68.9,2,7,9,2,mobile,86.1,0.2,1
44,60427,15433,724,28,0.95,2,0,RENT,education,6.6,0,66.8,0,5,6,1,desktop,83.6,0.148,1
63,69597,4870,688,1,0.84,7,0,MORTGAGE,debt_consolidation,8.2,0,54.3,0,2,5,5,mobile,78.2,0.156,1
53,53146,14773,688,24,0.95,12,0,MORTGAGE,debt_consolidation,0.0,0,97.2,0,7,1,0,mobile,86.7,0.035,1
27,65238,15187,659,11,0.95,6,0,OWN,debt_consolidation,12.8,20,68.2,3,5,7,5,mobile,77.0,0.177,1
64,39075,12633,621,29,0.95,9,0,MORTGAGE,medical,7.6,5,60.0,0,2,19,6,desktop,78.2,0.136,1
64,63983,6801,679,0,0.95,15,5,RENT,education,3.4,2,69.4,1,6,12,11,desktop,86.2,0.172,1
28,73188,6460,682,5,0.95,3,3,OWN,medical,4.2,1,75.4,2,8,16,2,mobile,88.4,0.0,1
57,40080,8234,713,22,0.95,8,2,RENT,education,11.0,0,59.1,3,4,17,11,mobile,86.5,0.327,1
39,55455,5335,718,24,0.95,10,1,MORTGAGE,car,11.5,0,100.0,0,7,14,2,desktop,68.1,0.155,1
47,40920,6096,684,2,0.95,12,0,RENT,home_improvement,5.4,0,46.7,0,1,16,0,mobile,82.9,0.182,1
41,42748,11590,740,4,0.95,13,2,MORTGAGE,other,2.6,5,47.7,0,0,9,10,mobile,78.6,0.177,1
56,32656,11611,659,10,0.95,5,0,RENT,debt_consolidation,8.5,2,45.6,0,0,9,3,mobile,83.1,0.128,1
65,95760,5885,600,1,0.737,8,1,RENT,home_improvement,9.3,7,68.1,3,3,8,3,mobile,88.3,0.18,1
56,87514,11736,706,24,0.95,13,0,RENT,debt_consolidation,10.3,30,74.6,0,3,6,0,mobile,75.3,0.233,0
62,68999,10740,686,20,0.95,13,0,RENT,debt_consolidation,5.7,0,63.4,0,8,0,6,mobile,78.3,0.162,1
63,131596,16382,707,23,0.95,13,0,MORTGAGE,car,7.5,0,74.6,3,9,13,2,desktop,70.7,0.21,1
25,49754,11245,610,14,0.95,11,1,RENT,debt_consolidation,8.1,7,74.4,3,6,13,7,desktop,57.8,0.204,0
32,211990,13676,778,19,0.774,5,0,OWN,home_improvement,11.9,30,62.9,5,9,12,5,desktop,76.1,0.199,1
53,48904,10838,719,17,0.95,6,0,RENT,debt_consolidation,13.3,0,74.0,0,9,13,3,desktop,64.1,0.28,1
47,60769,13253,664,21,0.95,10,0,MORTGAGE,home_improvement,14.4,0,65.2,0,4,15,7,mobile,52.6,0.175,1
23,45297,5352,628,13,0.95,4,1,RENT,debt_consolidation,13.2,0,62.3,2,2,19,1,mobile,69.0,0.145,1
25,64058,8530,739,20,0.95,11,0,MORTGAGE,education,15.3,30,61.0,4,4,18,9,mobile,69.9,0.147,0
44,78907,8817,619,20,0.95,8,3,OWN,home_improvement,12.1,4,71.3,2,0,7,8,mobile,63.5,0.179,1
48,51469,8123,804,19,0.95,7,0,RENT,medical,5.6,2,85.0,3,6,9,1,mobile,76.1,0.055,1
28,120514,10695,646,27,0.95,6,0,MORTGAGE,home_improvement,14.1,5,51.1,2,8,9,11,mobile,91.4,0.248,1
28,60332,11542,774,10,0.95,12,1,RENT,debt_consolidation,2.5,2,61.3,0,8,13,3,mobile,88.8,0.133,1
26,61189,10477,669,27,0.95,7,1,MORTGAGE,car,17.5,0,70.3,1,2,14,11,mobile,87.6,0.144,1
46,35988,8343,766,0,0.95,5,0,MORTGAGE,debt_consolidation,4.1,0,92.6,0,5,2,7,desktop,100.0,0.059,1
21,65403,6672,639,15,0.95,6,1,MORTGAGE,home_improvement,11.6,0,74.0,0,8,5,11,mobile,96.0,0.158,1
46,51005,13889,681,13,0.95,8,2,RENT,car,13.8,4,56.6,0,7,9,5,desktop,90.6,0.055,0
42,41204,10300,724,26,0.95,10,0,MORTGAGE,medical,9.8,4,55.1,0,0,2,9,mobile,66.5,0.032,1
41,38200,5958,716,1,0.95,15,1,RENT,education,0.0,0,81.8,1,0,9,3,mobile,89.2,0.099,1
51,180285,8288,740,6,0.552,6,0,RENT,debt_consolidation,4.2,0,63.6,0,9,3,8,mobile,82.2,0.133,1
44,48119,4459,653,14,0.95,3,3,RENT,car,9.4,0,50.8,0,8,19,2,mobile,95.5,0.09,1
53,28123,9083,684,25,0.95,15,0,RENT,home_improvement,10.5,1,82.2,0,7,2,1,desktop,78.3,0.17,1
55,39569,8272,748,14,0.95,3,4,OWN,medical,7.3,0,72.3,1,5,13,8,mobile,100.0,0.236,1
62,52934,7117,641,19,0.95,14,1,MORTGAGE,other,8.3,30,51.3,2,9,5,0,mobile,79.3,0.165,1
56,69286,16879,711,5,0.95,3,1,RENT,home_improvement,2.1,0,49.2,2,4,8,2,mobile,79.8,0.0,0
44,69540,5639,667,29,0.95,6,0,OWN,debt_consolidation,15.1,0,37.7,6,6,15,5,desktop,86.7,0.149,1
43,73459,11879,691,24,0.95,15,1,OWN,medical,6.5,1,59.3,6,2,6,8,mobile,73.9,0.191,1
31,40531,21476,684,1,0.95,3,0,RENT,home_improvement,11.2,10,72.3,0,3,15,6,mobile,85.2,0.124,1
47,63146,13779,636,21,0.95,3,0,RENT,education,13.6,0,81.4,0,1,2,11,desktop,58.3,0.172,1
27,36526,8843,665,4,0.95,10,0,MORTGAGE,car,3.4,4,73.9,1,5,20,8,desktop,84.3,0.169,1
62,40993,5689,687,17,0.95,3,1,RENT,other,8.5,0,49.7,0,3,12,2,desktop,61.5,0.073,1
59,35848,5194,674,21,0.95,1,2,MORTGAGE,debt_consolidation,9.1,1,64.0,0,7,19,8,mobile,85.2,0.234,1
26,31737,7596,766,28,0.95,11,4,OWN,medical,7.0,1,88.0,3,9,7,8,desktop,44.2,0.13,1
56,87456,6804,735,2,0.934,15,0,RENT,home_improvement,11.7,5,60.8,0,8,14,10,mobile,54.4,0.127,1
26,73856,6716,695,8,0.95,12,3,RENT,car,5.3,1,78.8,1,5,10,9,mobile,78.7,0.182,1
53,84078,7859,638,21,0.95,15,3,RENT,other,8.2,0,77.0,2,7,5,7,mobile,78.9,0.038,1
24,55143,8596,634,8,0.95,8,3,MORTGAGE,car,6.5,3,78.6,3,4,16,7,mobile,74.7,0.239,1
42,76846,10874,788,22,0.95,10,2,MORTGAGE,medical,17.3,0,74.0,4,6,12,5,desktop,96.5,0.081,1
50,24524,5458,624,5,0.95,15,0,OWN,debt_consolidation,5.3,0,78.6,4,1,15,3,mobile,90.1,0.277,1
53,79889,6817,686,5,0.95,8,3,OWN,debt_consolidation,11.0,0,47.3,0,0,0,11,mobile,100.0,0.229,1
39,58671,8401,699,16,0.95,1,1,MORTGAGE,car,15.2,1,89.2,1,0,2,2,mobile,78.6,0.079,1
62,71840,8282,662,21,0.95,4,2,OWN,home_improvement,4.3,4,42.7,0,2,16,10,desktop,91.4,0.173,1
55,64280,18668,624,6,0.95,10,0,MORTGAGE,debt_consolidation,8.4,1,72.4,6,6,8,9,mobile,67.2,0.083,1
30,34746,9827,636,27,0.95,13,0,OWN,medical,4.1,1,67.3,0,4,4,7,desktop,70.9,0.073,1
51,27609,4696,649,26,0.95,10,0,RENT,car,0.0,0,59.2,0,9,16,3,desktop,67.3,0.0,1
53,39323,10586,640,2,0.95,7,0,OWN,debt_consolidation,4.9,20,54.3,5,0,3,8,mobile,76.6,0.194,1
36,69858,11140,753,9,0.95,5,0,RENT,debt_consolidation,5.7,0,75.7,1,4,4,9,mobile,89.7,0.118,1
54,73905,8518,679,17,0.95,11,3,OWN,home_improvement,6.0,0,79.2,0,3,11,7,mobile,91.5,0.205,1
61,29273,5512,651,15,0.95,14,0,RENT,car,6.8,4,66.6,0,2,3,10,mobile,82.5,0.166,1
57,34839,18092,685,7,0.95,5,0,MORTGAGE,education,8.0,10,64.0,1,5,14,6,mobile,95.4,0.065,1
55,39126,5837,716,16,0.95,9,0,OWN,home_improvement,3.2,0,85.9,1,3,8,10,mobile,95.6,0.209,1
49,46130,11665,661,29,0.95,7,0,MORTGAGE,debt_consolidation,9.4,1,62.1,2,2,19,4,mobile,78.5,0.186,1
33,29351,9701,729,9,0.95,4,0,OWN,education,12.9,4,67.4,0,5,10,9,mobile,76.6,0.116,1
56,28569,11388,610,6,0.95,7,2,RENT,debt_consolidation,13.3,5,65.1,3,2,4,0,mobile,52.0,0.218,1
37,37428,17725,744,22,0.95,2,5,RENT,car,7.0,30,100.0,0,7,13,10,mobile,77.4,0.131,1
44,56321,11211,679,17,0.95,8,0,MORTGAGE,home_improvement,11.6,0,56.2,5,3,13,8,desktop,67.5,0.095,0
35,31848,7162,677,21,0.95,2,0,MORTGAGE,other,5.3,1,79.6,1,4,18,11,mobile,68.0,0.137,1
35,51425,13938,641,20,0.95,8,2,MORTGAGE,medical,6.6,0,44.2,4,1,2,11,desktop,72.5,0.124,0
28,87234,6957,612,23,0.95,14,1,MORTGAGE,debt_consolidation,9.6,7,54.6,3,9,15,5,mobile,59.2,0.046,0
64,30158,9561,588,22,0.95,3,3,OWN,home_improvement,6.7,6,63.7,6,1,12,7,mobile,67.8,0.0,1
27,49370,5339,638,18,0.95,4,1,OWN,debt_consolidation,2.9,0,66.2,4,6,19,3,desktop,90.8,0.265,1
24,85917,5924,712,14,0.827,11,3,OWN,debt_consolidation,11.3,10,64.2,1,6,12,11,mobile,83.0,0.229,1
63,44881,9141,627,14,0.95,14,0,MORTGAGE,home_improvement,4.7,1,66.6,6,1,20,2,mobile,70.3,0.253,0
45,41850,10376,594,8,0.95,15,5,OWN,car,5.9,2,58.4,5,1,11,2,desktop,71.8,0.213,0
40,91452,4533,630,13,0.595,2,4,MORTGAGE,medical,12.2,1,86.0,8,1,1,4,mobile,60.2,0.121,0
54,47203,10926,658,18,0.95,4,0,MORTGAGE,debt_consolidation,10.1,0,54.0,2,9,2,5,mobile,90.7,0.138,1
38,89056,6453,660,22,0.869,15,0,OWN,home_improvement,8.7,2,78.4,4,5,2,3,mobile,68.0,0.107,0
26,65712,14941,672,23,0.95,8,0,RENT,education,2.1,1,77.5,0,1,11,11,mobile,48.2,0.188,1
53,46431,7779,736,11,0.95,13,0,RENT,home_improvement,3.3,0,54.7,0,8,16,10,mobile,85.1,0.183,1
28,67229,5713,748,22,0.95,1,5,RENT,home_improvement,9.6,2,62.9,1,9,15,2,mobile,85.1,0.126,1
45,62580,9231,790,13,0.95,2,0,RENT,medical,10.5,0,68.0,2,5,20,10,desktop,100.0,0.181,1
63,85768,6207,590,11,0.869,4,2,OWN,medical,9.0,9,91.5,3,5,10,3,desktop,77.9,0.231,1
63,42330,14877,632,5,0.95,2,0,MORTGAGE,home_improvement,6.1,1,62.8,0,8,14,5,mobile,65.2,0.15,1
37,55190,8957,718,8,0.95,14,1,MORTGAGE,other,6.0,0,100.0,0,4,4,11,mobile,97.8,0.069,1
56,52697,8428,655,21,0.95,13,3,OWN,debt_consolidation,8.9,0,78.8,5,0,0,9,desktop,53.5,0.182,1
48,74374,11347,727,6,0.95,6,1,OWN,debt_consolidation,3.0,0,72.8,2,7,15,4,mobile,84.0,0.064,1
42,34155,5991,691,2,0.95,2,1,MORTGAGE,home_improvement,8.4,10,80.4,0,3,2,7,desktop,96.5,0.093,0
27,85617,5347,766,8,0.749,2,0,OWN,debt_consolidation,2.4,4,43.9,0,6,20,9,mobile,78.1,0.169,1
37,66826,10544,737,30,0.95,4,1,MORTGAGE,debt_consolidation,3.8,20,84.4,8,0,20,6,mobile,100.0,0.193,1
50,29953,5768,738,4,0.95,11,0,RENT,debt_consolidation,8.7,3,49.5,0,3,4,2,mobile,80.1,0.157,1
65,93313,5768,657,4,0.742,13,0,MORTGAGE,car,10.3,10,80.2,1,3,1,9,desktop,82.8,0.079,0
21,148055,12515,674,12,0.95,9,1,MORTGAGE,home_improvement,9.4,0,59.7,5,3,18,4,mobile,93.3,0.345,1
53,85036,11048,663,11,0.95,14,5,MORTGAGE,education,3.5,2,56.8,5,5,18,9,mobile,83.4,0.113,1
59,102965,5423,597,28,0.632,14,4,MORTGAGE,debt_consolidation,0.5,7,92.8,3,4,11,6,mobile,48.3,0.182,0
63,56298,6991,760,7,0.95,12,1,RENT,car,8.0,5,66.6,1,9,9,9,mobile,46.0,0.109,1
40,25651,6239,720,12,0.95,2,0,OWN,debt_consolidation,0.4,30,46.6,8,7,9,9,desktop,65.3,0.084,1
26,23627,18225,661,9,0.95,14,0,MORTGAGE,debt_consolidation,11.8,3,81.6,0,4,19,6,mobile,66.5,0.154,0
33,60766,12867,751,7,0.95,14,1,RENT,car,3.7,4,50.9,2,2,14,3,mobile,74.2,0.119,1
59,41507,7568,645,9,0.95,9,1,RENT,debt_consolidation,16.9,5,87.1,2,3,4,3,mobile,69.8,0.157,0
60,35898,11277,578,7,0.95,9,2,RENT,car,4.2,6,67.8,1,3,14,0,mobile,23.0,0.104,1
49,52668,5206,735,22,0.95,12,1,OWN,car,9.9,1,50.2,0,6,20,4,mobile,62.5,0.159,1
26,71469,6843,609,24,0.95,9,2,RENT,car,5.1,10,79.5,3,9,1,2,desktop,68.9,0.097,1
26,28177,9339,669,5,0.95,6,0,OWN,car,7.3,2,75.3,0,7,10,8,desktop,91.5,0.225,1
42,44267,10731,691,15,0.95,11,0,RENT,education,8.7,1,38.3,0,9,11,7,mobile,68.5,0.171,1
47,106878,8613,701,8,0.95,12,1,RENT,debt_consolidation,11.4,0,67.1,0,1,16,10,mobile,87.0,0.141,1
22,33394,9889,726,26,0.95,3,5,MORTGAGE,other,12.1,0,72.2,1,0,11,1,mobile,44.3,0.149,1
51,80129,9240,711,3,0.95,11,1,RENT,debt_consolidation,10.9,10,71.4,5,7,4,8,mobile,81.5,0.124,1
45,43559,8388,710,12,0.95,3,1,MORTGAGE,home_improvement,12.2,3,65.4,5,9,12,2,mobile,93.4,0.158,1
21,69259,7955,636,10,0.95,9,1,MORTGAGE,other,5.5,2,78.4,4,5,2,9,mobile,84.7,0.255,0
25,88769,7551,696,11,0.95,2,0,OWN,debt_consolidation,10.6,0,76.0,2,4,11,9,mobile,77.7,0.11,1
41,75628,9826,597,29,0.95,15,1,RENT,education,6.6,2,68.4,1,5,4,3,mobile,27.8,0.161,1
53,81562,10555,765,16,0.95,11,0,RENT,car,11.9,0,64.7,0,1,20,11,mobile,100.0,0.096,1
58,32266,9695,602,11,0.95,8,5,MORTGAGE,education,8.5,4,70.1,3,9,15,5,desktop,85.6,0.0,1
40,89424,5589,660,25,0.75,8,0,RENT,debt_consolidation,10.5,0,59.5,6,0,15,7,desktop,87.1,0.193,1
34,36912,6005,607,24,0.95,10,3,OWN,car,9.2,5,53.7,3,7,0,8,mobile,84.0,0.225,0
64,60888,10504,639,4,0.95,2,0,OWN,debt_consolidation,11.0,0,52.3,2,4,9,7,mobile,78.0,0.18,1
41,60853,16134,680,14,0.95,8,1,MORTGAGE,debt_consolidation,4.8,0,66.6,8,8,14,10,desktop,87.9,0.313,0
35,67394,9518,650,12,0.95,11,0,OWN,car,1.7,3,56.0,1,7,10,0,mobile,88.9,0.125,1
40,63047,7596,742,13,0.95,4,4,RENT,medical,12.0,1,65.8,2,8,4,6,mobile,84.2,0.087,1
21,37060,9796,692,10,0.95,8,0,MORTGAGE,medical,13.4,1,86.6,6,7,11,9,mobile,67.3,0.233,1
34,29512,5683,654,25,0.95,5,4,OWN,medical,7.5,30,65.1,2,6,13,0,desktop,89.4,0.237,1
44,80222,15117,672,30,0.95,3,1,MORTGAGE,medical,11.2,1,69.9,0,5,15,5,mobile,100.0,0.227,1
62,58902,9649,747,0,0.95,15,0,MORTGAGE,home_improvement,1.5,5,64.8,6,0,11,10,desktop,100.0,0.074,1
54,90873,6851,729,26,0.905,9,2,RENT,home_improvement,5.5,0,86.3,3,8,12,3,mobile,82.4,0.101,1
56,53097,8377,617,26,0.95,6,2,OWN,medical,8.3,3,91.2,1,3,18,1,mobile,74.5,0.035,1
45,28787,7253,642,11,0.95,6,0,OWN,car,1.1,0,61.4,7,3,20,4,mobile,82.2,0.288,1
25,83680,15134,706,15,0.95,11,1,MORTGAGE,debt_consolidation,1.9,30,78.2,0,7,6,6,mobile,48.3,0.086,0
38,45859,8259,699,3,0.95,2,1,MORTGAGE,home_improvement,8.6,10,97.3,5,0,14,1,desktop,76.6,0.066,1
65,63190,9529,622,10,0.95,9,1,RENT,debt_consolidation,5.6,0,51.8,3,1,19,5,mobile,75.2,0.143,1
22,40483,11265,721,7,0.95,4,2,MORTGAGE,medical,6.6,5,81.7,0,9,1,7,desktop,62.3,0.158,1
60,113543,6659,631,28,0.704,14,1,OWN,debt_consolidation,6.4,0,43.6,4,9,11,11,mobile,91.7,0.197,1
51,36517,9677,751,3,0.95,12,0,OWN,car,2.9,1,68.4,0,9,17,8,desktop,88.2,0.141,1
33,46544,9994,709,10,0.95,12,0,OWN,medical,7.1,0,66.0,5,0,4,1,desktop,44.0,0.102,1
56,56860,4810,617,14,0.95,3,2,MORTGAGE,other,7.9,5,44.1,3,3,6,11,mobile,67.2,0.122,1
58,33141,9908,650,30,0.95,2,1,RENT,home_improvement,5.7,0,83.2,1,5,17,7,mobile,94.6,0.108,1
22,62864,8793,649,25,0.95,7,0,MORTGAGE,education,6.0,1,70.1,8,3,3,10,desktop,70.3,0.248,1
25,111900,9433,688,29,0.95,6,0,OWN,car,7.2,0,55.0,0,0,6,3,mobile,64.7,0.15,1
50,43447,9084,668,9,0.95,11,2,MORTGAGE,debt_consolidation,11.3,1,72.6,1,0,17,0,mobile,61.2,0.194,0
65,64719,9933,616,8,0.95,11,2,MORTGAGE,home_improvement,7.6,2,80.7,4,7,12,5,mobile,66.0,0.135,1
22,20000,15290,603,17,0.95,6,2,RENT,home_improvement,0.3,3,43.2,2,8,13,4,mobile,52.8,0.022,1
50,53236,5587,710,10,0.95,3,3,OWN,debt_consolidation,3.2,0,23.9,0,6,11,4,desktop,58.9,0.265,1
27,47058,7810,695,0,0.95,5,1,MORTGAGE,home_improvement,11.7,0,67.4,1,1,7,11,mobile,99.1,0.191,1
50,37484,11692,685,25,0.95,8,2,OWN,debt_consolidation,5.3,1,57.2,0,4,16,4,mobile,80.7,0.177,1
49,88137,10855,694,2,0.95,4,0,OWN,education,7.6,0,86.7,1,4,6,3,desktop,71.2,0.002,1
25,46779,10762,645,6,0.95,5,1,RENT,home_improvement,15.7,0,62.8,1,1,5,10,mobile,99.8,0.14,1
51,50018,26942,690,29,0.95,4,4,RENT,debt_consolidation,10.5,0,72.3,0,1,9,10,mobile,81.6,0.258,0
61,45719,11449,819,22,0.95,1,0,MORTGAGE,car,0.0,1,65.4,0,4,4,8,mobile,86.8,0.241,1
59,22867,14078,744,19,0.95,10,0,RENT,education,13.8,1,46.4,0,2,17,1,mobile,87.4,0.135,1
22,32552,7920,664,4,0.95,15,0,OWN,other,8.6,0,68.4,0,3,19,10,mobile,71.1,0.235,1
32,83491,6020,651,7,0.865,15,3,MORTGAGE,education,9.5,0,49.4,2,2,15,0,desktop,76.2,0.26,0
31,20963,7897,522,6,0.95,14,2,MORTGAGE,education,9.2,6,48.7,2,1,6,9,mobile,72.2,0.139,1
41,38375,11906,738,19,0.95,10,0,RENT,home_improvement,11.7,4,52.6,6,9,2,8,desktop,99.9,0.242,1
27,45258,10538,723,15,0.95,12,1,RENT,home_improvement,7.7,0,51.4,0,1,13,5,mobile,70.9,0.239,1
59,118733,10523,650,11,0.95,1,4,OWN,home_improvement,2.1,0,65.1,0,5,11,2,mobile,86.2,0.209,1
55,76563,8219,601,23,0.95,4,1,RENT,other,9.3,7,62.5,6,8,18,0,mobile,36.2,0.215,0
57,42162,7712,616,24,0.95,11,2,MORTGAGE,debt_consolidation,2.5,6,72.0,1,2,10,0,mobile,71.4,0.089,1
29,97444,8334,704,22,0.95,15,4,OWN,car,15.3,0,46.0,1,3,1,3,mobile,100.0,0.205,1
21,38823,11966,675,3,0.95,14,0,RENT,debt_consolidation,6.6,0,64.5,0,5,18,5,mobile,78.3,0.141,1
61,85314,12535,718,18,0.95,10,1,OWN,education,7.8,20,61.3,6,0,6,4,mobile,70.5,0.087,0
34,29393,5988,684,6,0.95,2,0,RENT,debt_consolidation,5.3,1,70.8,0,6,16,7,desktop,71.1,0.256,1
50,87813,12148,733,8,0.95,15,0,MORTGAGE,education,9.4,0,71.5,0,1,1,1,mobile,84.3,0.142,1
61,45127,6903,700,30,0.95,5,0,RENT,other,9.8,0,70.2,1,7,20,8,mobile,78.8,0.166,1
22,34104,10803,725,12,0.95,1,0,OWN,debt_consolidation,5.3,0,54.1,0,6,19,1,mobile,72.7,0.16,1
21,49133,8293,565,24,0.95,12,1,RENT,medical,9.8,3,68.3,6,3,1,5,mobile,77.3,0.041,0
21,61378,16753,612,7,0.95,3,3,OWN,home_improvement,8.3,27,60.8,5,3,19,0,mobile,51.2,0.129,0
28,43363,7576,659,30,0.95,5,0,RENT,home_improvement,7.6,0,86.4,3,1,16,11,mobile,89.2,0.204,1
23,69514,9619,739,8,0.95,11,0,MORTGAGE,debt_consolidation,5.0,2,69.5,0,0,19,5,mobile,73.9,0.151,1
57,41675,11414,783,5,0.95,15,1,OWN,car,17.3,10,69.1,1,9,9,4,mobile,98.1,0.125,1
48,71623,6313,670,10,0.95,14,4,RENT,home_improvement,12.7,0,50.1,0,0,7,2,mobile,88.9,0.173,1
65,66105,8698,646,5,0.95,3,0,RENT,medical,10.9,0,59.7,0,1,10,2,desktop,52.7,0.225,0
57,52711,8050,572,18,0.95,3,1,MORTGAGE,medical,12.5,3,71.6,1,0,10,3,mobile,64.0,0.036,1
64,44417,7292,727,4,0.95,13,0,OWN,home_improvement,9.2,3,66.9,1,4,15,1,desktop,58.1,0.143,1
31,58000,7511,649,6,0.95,5,3,RENT,debt_consolidation,6.6,0,66.7,0,7,19,5,mobile,55.5,0.151,1
33,69398,13972,842,21,0.95,2,3,OWN,debt_consolidation,0.0,1,43.4,2,2,20,1,mobile,81.6,0.274,1
59,137010,7049,639,1,0.617,9,0,OWN,debt_consolidation,3.1,0,56.6,1,8,18,1,desktop,82.0,0.234,1
32,82681,11232,795,13,0.95,10,0,OWN,other,16.7,0,64.2,0,6,8,1,mobile,66.7,0.053,1
23,84052,10156,721,21,0.95,15,1,MORTGAGE,home_improvement,12.6,0,84.8,0,8,0,0,mobile,81.5,0.244,0
51,217473,5122,623,13,0.283,8,1,OWN,medical,8.8,0,41.5,1,3,3,9,mobile,66.6,0.139,0
